cause,effect,lag,ccf_correlation
geopolitical,tech,0,-0.0637
geopolitical,tech,1,-0.0587
geopolitical,tech,2,-0.0585
geopolitical,tech,3,-0.0748
geopolitical,tech,4,-0.0599
geopolitical,tech,5,-0.0524
financial,tech,0,0.0445
financial,tech,1,0.0581
financial,tech,2,0.0953
financial,tech,3,0.119
financial,tech,4,0.1333
financial,tech,5,0.1302
geopolitical,balanced,0,-0.0818
geopolitical,balanced,1,-0.0709
geopolitical,balanced,2,-0.0728
geopolitical,balanced,3,-0.0653
geopolitical,balanced,4,-0.049
geopolitical,balanced,5,-0.0361
technology,geopolitical,0,-0.1006
technology,geopolitical,1,-0.0925
technology,geopolitical,2,-0.0925
technology,geopolitical,3,-0.0986
technology,geopolitical,4,-0.0859
technology,geopolitical,5,-0.1058
financial,balanced,0,0.068
financial,balanced,1,0.0788
financial,balanced,2,0.1212
financial,balanced,3,0.1358
financial,balanced,4,0.1323
financial,balanced,5,0.1239
